"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"186","STRI_O_R210","O_R210","R210","OOMY",NA,NA,"15809_0820_1_04",NA,"UR211","",20191004,NA,"Unsterile root",6,""
"187","STRI_F_R213","F_R213","R213","FUN",NA,NA,"01772_0820_1_04",NA,"UR213","",20191004,NA,"Unsterile root",22,""
"188","STRI_F_R216","F_R216","R216","FUN",NA,NA,"02512_1901_3_01",NA,"UR216","",20190903,NA,"Unsterile root",26.4,""
"189","STRI_O_R216","O_R216","R216","OOMY",NA,NA,"02512_1901_3_02",NA,"UR217","",20190903,NA,"Unsterile root",26.4,""
"190","STRI_F_R217","F_R217","R217","FUN",NA,NA,"01401_0803_3_01",NA,"UR217","",20190814,NA,"Unsterile root",2.5,""
"191","STRI_F_R218","F_R218","R218","FUN",NA,NA,"01772_0803_3_04",NA,"UR218","",20190814,NA,"Unsterile root",0.4,""
"192","STRI_F_R225","F_R225","R225","FUN",NA,NA,"42320_0803_1_01",NA,"UR225","",20190828,NA,"Unsterile root",3.2,""
"193","STRI_F_R226","F_R226","R226","FUN",NA,NA,"",NA,"","",NA,NA,"",NA,""
"194","STRI_F_R227","F_R227","R227","FUN",NA,NA,"42320_0407_2_02",NA,"UR227","",20190908,NA,"Unsterile root",8.7,"Not sure where this one came from"
"195","STRI_O_R227","O_R227","R227","OOMY",NA,NA,"42320_0407_2_03",NA,"UR228","",20190908,NA,"Unsterile root",8.7,"Not sure where this one came from"
"196","STRI_F_R228","F_R228","R228","FUN",NA,NA,"15809_0407_3_01",NA,"UR228","",20190814,NA,"Unsterile root",2.4,""
"197","STRI_F_R238","F_R238","R238","FUN",NA,NA,"01401_0820_1_08",NA,"UR238","",20190918,NA,"Unsterile root",13.1,""
"198","STRI_O_R238","O_R238","R238","OOMY",NA,NA,"01401_0820_1_09",NA,"UR239","",20190918,NA,"Unsterile root",13.1,""
"199","STRI_F_R239","F_R239","R239","FUN",NA,NA,"13665_0820_2_02",NA,"UR239","",20190918,NA,"Unsterile root",8.5,""
"200","STRI_F_R240","F_R240","R240","FUN",NA,NA,"13665_0803_2_01",NA,"UR240","",20190918,NA,"Unsterile root",3.5,""
"201","STRI_F_R247","F_R247","R247","FUN",NA,NA,"12249_1901_2_01",NA,"UR247","",20191001,NA,"Unsterile root",8.2,""
"202","STRI_O_R247","O_R247","R247","OOMY",NA,NA,"12249_1901_2_02",NA,"UR248","",20191001,NA,"Unsterile root",8.2,""
"203","STRI_F_R248","F_R248","R248","FUN",NA,NA,"12525_0407_2_01",NA,"UR248","",20191001,NA,"Unsterile root",3.5,""
"204","STRI_F_R249","F_R249","R249","FUN",NA,NA,"13665_0820_1_08",NA,"UR249","",20190920,NA,"Unsterile root",1.4,""
"205","STRI_F_R251","F_R251","R251","FUN",NA,NA,"02512_0803_3_01",NA,"UR250","",20190920,NA,"Unsterile root",4.5,"Broken extraction tube, had to discard"
"206","STRI_F_R252","F_R252","R252","FUN",NA,NA,"02512_0407_2_01",NA,"UR252","",20190917,NA,"Unsterile root",37.8,"Chunky"
"207","STRI_F_R253","F_R253","R253","FUN",NA,NA,"02512_0407_1_01",NA,"UR253","",20190921,NA,"Unsterile root",32.7,"Chunky"
"208","STRI_F_R254","F_R254","R254","FUN",NA,NA,"12525_0820_2_01",NA,"UR254","",20190917,NA,"Unsterile root",11.9,""
"209","STRI_F_R255","F_R255","R255","FUN",NA,NA,"13665_0820_1_02",NA,"UR255","",20190903,NA,"Unsterile root",0.7,""
"210","STRI_F_R256","F_R256","R256","FUN",NA,NA,"13665_0820_3_01",NA,"UR256","",20190903,NA,"Unsterile root",6,"Dropped on bench"
"211","STRI_F_R257","F_R257","R257","FUN",NA,NA,"13687_0820_1_06",NA,"UR257","",20190903,NA,"Unsterile root",4.3,""
"212","STRI_O_R257","O_R257","R257","OOMY",NA,NA,"13687_0820_1_07",NA,"UR258","",20190903,NA,"Unsterile root",4.3,""
"213","STRI_O_S043","O_S043","S043","OOMY",NA,NA,"",NA,"","",NA,NA,"",NA,""
"214","STRI_O_S059","O_S059","S059","OOMY",NA,NA,"",NA,"","",NA,NA,"",NA,""
"215","STRI_O_S062","O_S062","S062","OOMY",NA,NA,"",NA,"","",NA,NA,"",NA,""
"216","STRI_O_S063","O_S063","S063","OOMY",NA,NA,"",NA,"","",NA,NA,"",NA,""
"217","STRI_F_SN2","F_SN2","SN2","FUN",NA,NA,"",NA,"","",NA,NA,"",NA,""
"218","STRI_A_SN2","A_SN2","SN2","AMF",NA,NA,"",NA,"","",NA,NA,"",NA,""
"219","STRI_O_SN2","O_SN2","SN2","OOMY",NA,NA,"",NA,"","",NA,NA,"",NA,""
"220","STRI_F_SR001","F_SR001","SR001","FUN",NA,NA,"12855_0820_1_06",NA,"SR001","Healthy",20190924,NA,"Sterile root",4.5,""
"221","STRI_F_SR002","F_SR002","SR002","FUN",NA,NA,"12855_0407_1_01",NA,"SR002","Healthy",20190924,NA,"Sterile root",3.8,""
"222","STRI_F_SR003","F_SR003","SR003","FUN",NA,NA,"12855_1901_1_01",NA,"SR003","Healthy",20190924,NA,"Sterile root",6.2,""
"223","STRI_F_SR005","F_SR005","SR005","FUN",NA,NA,"02512_0820_1_11",NA,"SR005","Healthy",20191011,NA,"Sterile root",2.7,""
"224","STRI_F_SR008","F_SR008","SR008","FUN",NA,NA,"13665_1901_1_02",NA,"SR008","",20190927,NA,"Sterile root",19,""
"225","STRI_A_SR008","A_SR008","SR008","AMF",NA,NA,"13665_1901_1_03",NA,"SR009","",20190927,NA,"Sterile root",19,""
"226","STRI_F_SR012","F_SR012","SR012","FUN",NA,NA,"41607_0820_1_02",NA,"SR012","",20190927,NA,"Sterile root",3.2,""
"227","STRI_F_SR016","F_SR016","SR016","FUN",NA,NA,"12249_0820_1_05",NA,"SR016","",20190927,NA,"Sterile root",1.8,""
"228","STRI_F_SR023","F_SR023","SR023","FUN",NA,NA,"12249_0803_1_01",NA,"SR023","",20190927,NA,"Sterile root",1.8,""
