"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"44","STRI_F_L212","F_L212","L212","FUN",NA,NA,"15809_0820_1_03",NA,"L212","",20191004,NA,"Sterile leaf",43,""
"45","STRI_F_L215","F_L215","L215","FUN",NA,NA,"01772_0820_1_04",NA,"L215","",20191004,NA,"Sterile leaf",48,""
"46","STRI_F_L220","F_L220","L220","FUN",NA,NA,"12855_0803_1_01",NA,"L220","",20190924,NA,"Sterile leaf",50.2,""
"47","STRI_F_L222","F_L222","L222","FUN",NA,NA,"02512_0407_1_01",NA,"L222","",20190921,NA,"Sterile leaf",57.2,""
"48","STRI_F_L224","F_L224","L224","FUN",NA,NA,"42320_1901_1_01",NA,"L224","",20190927,NA,"Sterile leaf",51.7,""
"49","STRI_F_L230","F_L230","L230","FUN",NA,NA,"12525_0820_2_01",NA,"L230","",20190917,NA,"Sterile leaf",49.5,""
"50","STRI_F_L231","F_L231","L231","FUN",NA,NA,"12525_0407_1_01",NA,"L231","",20190921,NA,"Sterile leaf",52.2,""
"51","STRI_F_L232","F_L232","L232","FUN",NA,NA,"02512_0803_3_01",NA,"L232","",20190920,NA,"Sterile leaf",49.5,""
"52","STRI_F_L235","F_L235","L235","FUN",NA,NA,"13665_0820_1_08",NA,"L235","",20190927,NA,"Sterile leaf",47.9,""
"53","STRI_F_L241","F_L241","L241","FUN",NA,NA,"13665_0803_2_01",NA,"L241","",20190918,NA,"Sterile leaf",37.5,""
"54","STRI_F_L244","F_L244","L244","FUN",NA,NA,"13665_0820_2_02",NA,"L244","",20190918,NA,"Sterile leaf",37,""
"55","STRI_F_LN1","F_LN1","LN1","FUN",NA,NA,"",NA,"","",NA,NA,"",NA,""
"56","STRI_F_LN2","F_LN2","LN2","FUN",NA,NA,"",NA,"","",NA,NA,"",NA,""
"57","STRI_F_R001","F_R001","R001","FUN",NA,NA,"12855_0820_1_06",NA,"UR001","Healthy",20190924,NA,"Unsterile root",11.2,""
