OTU_ID	STRI_O_R003	STRI_O_R004	STRI_O_R007	STRI_O_R011	STRI_O_R015	STRI_O_R036	STRI_O_R042	STRI_O_R045	STRI_O_R057	STRI_O_R086	STRI_O_R089	STRI_O_R102	STRI_O_R115	STRI_O_R118	STRI_O_R124	STRI_O_R129	STRI_O_R130	STRI_O_R131	STRI_O_R133	STRI_O_R136	STRI_O_R139	STRI_O_R140	STRI_O_R147	STRI_O_R151	STRI_O_R154	STRI_O_R158	STRI_O_R172	STRI_O_R210	STRI_O_R216	STRI_O_R227	STRI_O_R238	STRI_O_R247	STRI_O_R257	STRI_O_S001	STRI_O_S002	STRI_O_S005	STRI_O_S006	STRI_O_S007	STRI_O_S008	STRI_O_S009	STRI_O_S010	STRI_O_S011	STRI_O_S012	STRI_O_S013	STRI_O_S014	STRI_O_S015	STRI_O_S022	STRI_O_S025	STRI_O_S026	STRI_O_S027	STRI_O_S028	STRI_O_S029	STRI_O_S030	STRI_O_S031	STRI_O_S032	STRI_O_S033	STRI_O_S035	STRI_O_S036	STRI_O_S038	STRI_O_S039	STRI_O_S040	STRI_O_S041	STRI_O_S042	STRI_O_S043	STRI_O_S044	STRI_O_S045	STRI_O_S049	STRI_O_S051	STRI_O_S052	STRI_O_S053	STRI_O_S054	STRI_O_S055	STRI_O_S056	STRI_O_S057	STRI_O_S058	STRI_O_S059	STRI_O_S060	STRI_O_S061	STRI_O_S062	STRI_O_S063	STRI_O_SN1	STRI_O_SN2	STRI_O_T20	STRI_O_T21	STRI_O_T22	STRI_O_T23	STRI_O_T24	STRI_O_T25	STRI_O_T26	STRI_O_T27	STRI_O_T28	STRI_O_T29	STRI_O_T30	STRI_O_T31	STRI_O_T32	STRI_O_T33	STRI_O_T34	STRI_O_T35	STRI_O_T36	STRI_O_T37	STRI_O_T38	STRI_O_T39	STRI_O_T41	STRI_O_T42	STRI_O_T43	STRI_O_T44	STRI_O_T45	STRI_O_T46	STRI_O_T47	STRI_O_T48	STRI_O_T49	STRI_O_T50	STRI_O_T51	STRI_O_T55	STRI_O_T56	STRI_O_T57	STRI_O_T58	STRI_O_T59	STRI_O_TN1	STRI_O_TN2
KF761244.1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	60	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	71	0	8	0	0	0	5	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0
EU124755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ111473.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
FJ234425.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB285507.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308b62205f61e2bb361ce8f3ea1bdbdc	0	28	31	0	25	0	0	19006	23642	10551	45	15749	29	24	1136	7440	18	31	18	18	17	37	34	14075	24	28	19	0	275	0	30875	16	43	9718	3210	1146	1530	28	24	15513	0	33	6387	17	14	0	11	7178	17	15	358	2669	33719	1162	27441	38	29	34	1059	21	30	10832	26	0	9	3038	2564	41	8436	2308	9220	25	16	5011	15	29	7557	4769	13	12	1577	1387	38	1990	7341	24877	27	16728	5904	3670	20044	20618	17	14	28	14	20	38	55	18142	2518	5094	16637	14476	14921	1079	6487	711	21	17	0	13104	0	7374	22	28	25	0	776	18
451b2613340837919be64eda089c56ac	0	14	0	8	14078	38	5576	0	13	24	14392	27	16	10	998	13	19076	0	0	6049	8007	12	0	13633	24186	0	24	11204	9	0	12	0	17	13826	0	0	488	0	10121	14	0	3534	606	11	9887	6004	12	7574	2615	0	0	18	3560	15	1447	2606	12	0	289	15	8888	850	2188	13	518	452	24	16	3351	16887	405	0	2871	472	0	7	2512	10271	12	0	272	750	0	3625	2892	111	1600	516	441	7596	23	0	0	4647	12714	221	183	686	12797	1646	82	13353	13	601	577	1279	2572	15935	3261	8857	3543	330	8943	11	0	0	63	2670	365	44
4fc9803675c121db7c3d099a1dcececc	0	7	5	11	0	0	10	9	9	7	3	0	10	18	29	0	6	0	10	0	6	16	15	0	0	3	0	0	11	6	7	0	0	0	6	3621	8	25314	14	7	4407	4	13	21	18	11	0	0	4876	5619	3609	4834	10	7147	16	7	31	25358	5747	12	0	195	7051	8070	30917	16	4335	13	1478	11	4825	13352	4600	8	4910	0	3008	0	6	5562	73	550	6433	18524	2753	0	0	20	1620	544	4030	0	2754	0	4552	36	4	3494	438	4164	1299	3	6	2798	2938	3096	6	592	14	2341	1466	7	11	8	9	13804	4964	442	63	10
1fe95e7154e81707c847d618e51203bb	0	14	0	19500	0	0	1043	0	0	11606	0	0	0	0	4887	0	21	0	0	0	24975	35	0	0	0	0	0	21	4911	0	22	26536	0	965	0	0	0	0	3448	391	833	0	2680	0	11138	5514	18	16161	0	5262	0	10949	0	1685	0	19439	0	2043	4383	8484	0	0	4133	14087	6	1574	2318	0	0	0	124	0	1856	0	4651	0	0	0	3252	0	67	62	15425	219	0	0	3368	1862	0	232	1117	0	0	1756	187	15041	15225	41	0	0	68	0	0	1284	1319	0	0	0	0	0	0	0	0	0	2451	0	0	912	755	51
3f4b96b6d6aaf267a38afb7d842c99f2	7	0	10	0	11	0	2721	0	17	4	11	15	13	12513	51	5486	9	0	0	21	0	26	13	0	11	24984	13	13052	13	0	0	0	28780	10	0	8211	7	0	8	6900	0	862	309	0	7	10634	5	632	0	5044	15	2002	0	0	3487	4325	12	629	3307	7520	0	0	1734	0	224	4158	3575	15	1197	1592	2047	6	4397	118	1901	8	2062	4	0	281	64	118	8	5	3	9	12	0	7086	39	1845	15	0	11	4	6	3	13	0	0	5	8	443	0	4	0	1986	37	0	5	0	0	0	7	6	5	0	1269	574	7
16f6d8cebc84bf964125b77c817a9f9f	5	0	0	0	0	0	16	0	0	3	0	0	6	23	0	0	0	0	0	0	6	18	0	5	2	0	0	0	0	0	0	0	0	0	0	7	0	0	5066	0	6053	0	0	26	0	0	4	13	6521	0	0	6	2	7	0	15	27686	1835	1444	1375	6	679	3970	13648	5651	902	616	12135	1472	502	5208	8469	2338	1009	0	0	2242	970	0	3524	218	161	1219	2209	2397	2	7	0	0	1095	0	0	1411	0	19445	15	0	15811	388	55	0	92	692	34	0	419	1413	416	0	905	3319	15	1376	0	0	0	0	10	179	0
990d8b11f5656ade6c3ba97c6d68ee54	0	0	0	0	0	0	0	0	6	0	0	4	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	2	4508	4	3	3	0	0	0	0	0	0	6	5678	0	0	0	0	0	574	0	0	5	3	4	677	4	0	0	0	328	0	0	6	1030	0	5083	7560	1470	1911	6	0	2769	0	3	0	0	0	23	4	0	0	0	2	5	3764	3512	1040	0	0	0	0	0	11859	12077	6047	0	0	0	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	11	0
376a69cbbcff153b2b9336c37851577e	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	30	0	0	14320	0	2744	0	0	15	1274	0	0	5913	0	0	0	4	0	5	0	0	24	0	0	2	419	631	0	548	206	0	0	1963	11	0	0	13	0	1491	0	6	11515	0	3	10	0	0	0	1634	25	0	0	9	0	0	0	0	3	0	0	5	0	0	0	0	0	0	2327	130	0	201	0	0	3	0	0	0	0	0	0	0	0	0	3727	0	425	63	0
679ccd7ecce6d419919ad0960dc154c1	0	0	0	0	0	0	0	0	0	0	11133	0	0	0	30	0	0	5	0	0	0	0	27949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	33
9eb47c21dc430d66c0d8487035edd6fe	0	6	0	0	0	0	0	0	0	3	0	0	0	0	100	0	4	0	0	0	0	0	0	322	0	0	0	0	27	0	3	0	0	0	0	0	0	0	6	3206	0	0	0	0	0	0	0	0	926	2	0	7	0	0	0	0	7	0	0	7	797	0	10	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	36	19	818	2	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	3	0	35	0	6497	7031	0	6	0	5	0	0	38	0	17602	0	0	185	0	20	3
58dd439044946a3d490fa2ce2fd8472b	0	0	0	0	0	0	0	0	8	0	0	12304	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	2425	0	0	314	4853	0	0	0	0	0	245	3098	2	0	0	0	0	0	4488	4367	0	0	299	253	0	646	0	1654	0	320	0	0	0	9	0	0	0	0	0	488	0	0	0	0	0	0	0	0	111	110	0	4	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	62	0	0
e042d158b99d2742a5e6e359ce2764e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15049	0	0	0	0	0	0	0	0	0	0	0	0	1175	0	0	0	356	0	0	0	0	0	0	0	0	0	0	4593	5	0	0	0	0	0	0	0	0	867	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	26	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f4b87c3e4b549e45c6eb19d316c8bde	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1664	0	2	14073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	1546	0	780	27	0	0	0	0	0	0	6	0	0	0	13	0	0	0	0	15	0	0	0	0	0	4	8	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35820780588bef248c7a13f170447ff5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	656	1483	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9580	0	0	0	5	0	0	0	796	0	0	0	4	0	0	0	0	0	0	6682	0	0	0
6e10f644b698788c7df1c62b73c6d9b0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	18186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	10	0
29f8a23a59ea569d022f891513295fa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	6327	0	0	0	2258	3689	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	7	3385	0	0	150	0	0	0	0	0	0	0	0	0	0	0	12	63	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0
