Sample_Name,AdultTag,Tube_label,Date_sample_collected,Sample_type,Individual_Number,Sample_weight_mg,Seedling_species,Soil_sample_number,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,Notes2
STRI_O_R227,42320,UR228,20190908,Unsterile root,3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_L183,42320,L183,20191011,Sterile leaf,1,48,DG,NA,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,NA,JS,Yes,Yes,Yes,Yes,"Hilario's ""control"" seedling",NA
STRI_F_R181,42320,UR181,20191011,Unsterile root,1,NA,DG,NA,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,NA,JS,Yes,Yes,Yes,Yes,"Hilario's ""control"" seedling",NA
STRI_F_R225,42320,UR225,20190828,Unsterile root,1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_L091,42320,L091,20191002,Sterile leaf,3,57.4,HC,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4938.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R089,42320,UR089,20191002,Unsterile root,3,15.7,HC,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4938.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_O_R089,42320,UR090,20191002,Unsterile root,4,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R145,42320,UR145,20190828,Unsterile root,1,4.2,HC,NA,NA,NA,1_B6,NA,S_B6,NA,L_B6,NA,IMG_4613.HEIC,DP,Yes,No,No,No,Also near 1869,NA
STRI_F_R164,42320,UR164,20190828,Unsterile root,2,4.1,HC,NA,NA,NA,1_A5,NA,S_A5,NA,L_A5,NA,IMG_4612.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_L056,42320,L056,20190927,Sterile leaf,1,51.1,HT,25,NA,20191001,B1_1F,A_H2,E_I6,E_I7,E_A4,E_A3,IMG_4834.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R054,42320,UR054,20190927,Unsterile root,1,2.1,HT,25,NA,20191001,B1_1F,A_H2,E_I6,E_I7,E_A4,E_A3,IMG_4834.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R158,42320,UR158,20190828,Unsterile root,2,23.9,HT,NA,NA,NA,1_F1/1_H4?,NA,NA,NA,NA,NA,IMG_4605.HEIC,DP,Yes,No,No,No,NA,NA
STRI_O_R158,42320,UR159,20190828,Unsterile root,3,23.9,HT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R146,42320,UR146,20190820,Unsterile root,4,3.9,HT,51,NA,NA,1_I4,NA,S_I4,NA,L_I4,NA,IMG_4351.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R078,42320,UR078,20191011,Unsterile root,6,13,HT,57,NA,20191015,B1_7A,Bag,Bag,Bag,Bag,Bag,IMG_4971.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_L080,42320,L080,20191011,Sterile leaf,6,58.4,HT,57,NA,20191015,B1_7A,Bag,Bag,Bag,Bag,Bag,IMG_4971.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_L097,42320,L096,20191011,Sterile leaf,7,51.2,HT,57,NA,20191015,B1_10A,Bag,Bag,Bag,Bag,Bag,IMG_4969.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R095,42320,UR095,20191011,Unsterile root,7,9.5,HT,57,NA,20191015,B1_10A,Bag,Bag,Bag,Bag,Bag,IMG_4969.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R159,42320,UR159,20190828,Unsterile root,8,8.1,HT,NA,NA,NA,1_F1/1_H4?,NA,NA,NA,NA,NA,IMG_4604.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_L178,42320,L178,20191011,Sterile leaf,15,28,HT,57,NA,20191015,B1_9A,Bag,Bag,Bag,Bag,Bag,IMG_4973.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R180,42320,UR180,20191011,Unsterile root,15,8,HT,57,NA,20191015,B1_9A,Bag,Bag,Bag,Bag,Bag,IMG_4973.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R102,42320,UR102,20190927,Unsterile root,1,3.5,SA,20,NA,20191001,B1_8D,NA,B_G4,B_G3,B_D4,B_D3,IMG_4832.JPG,JS,Yes,No,Yes,Yes,NA,NA
STRI_F_L224,42320,L224,20190927,Sterile leaf,1,51.7,SA,20,NA,20191001,B1_8D,NA,B_G4,B_G3,B_D4,B_D3,IMG_4832.JPG,JS,Yes,No,Yes,Yes,NA,NA
STRI_O_R102,42320,UR103,20190927,Unsterile root,2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_L085,42320,L085,20191002,Sterile leaf,2,59,SA,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4939.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R083,42320,UR083,20191002,Unsterile root,2,43.4,SA,NA,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4939.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R160,42320,UR160,20190828,Unsterile root,1,1.5,SA,NA,NA,NA,1_F6,NA,S_F6,NA,L_F6,NA,IMG_4611.HEIC,DP,Yes,No,No,No,Found mostly uprooted,NA
STRI_F_R160,42320,UR160,20190828,Unsterile root,1,1.5,SA,NA,NA,NA,1_I6,NA,S_I6,NA,L_I6,NA,IMG_4359.HEIC,DP,Yes,No,No,No,"Two samples, not sure which is which",NA
STRI_F_R162,42320,UR162,20190828,Unsterile root,2,7.9,SA,NA,NA,NA,1_G6,NA,S_G6,NA,L_G6,NA,IMG_4611.HEIC,DP,Yes,No,No,No,Found mostly uprooted,NA
STRI_F_R147,42320,UR147,20190820,Unsterile root,3,4.4,SA,NA,NA,NA,1_I6,NA,S_I6,NA,L_I6,NA,IMG_4353.HEIC,DP,Yes,No,No,No,"Two samples, not sure which is which",NA
STRI_O_R147,42320,UR148,20190820,Unsterile root,4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R154,58779,UR154,20190828,Unsterile root,1,13.9,DG,NA,NA,NA,1_B1,NA,S_B1,NA,L_B1,NA,IMG_4601.HEIC,DP,Yes,No,No,No,NA,NA
STRI_O_R154,58779,UR155,20190828,Unsterile root,2,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R143,58779,UR143,20190822,Unsterile root,1,4.4,HC,NA,NA,NA,1_B7,NA,S_B7,NA,L_B7,NA,IMG_4347.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R198,58779,UR198,20190926,Unsterile root,2,NA,HC,NA,20190929,20190929,B1_8E,A_G8,NA,B_F4,NA,B_E5,IMG_4852.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R156,58779,UR156,20190828,Unsterile root,1,11.3,HC,NA,NA,NA,1_C6,NA,S_C6,NA,L_C9,NA,IMG_4603.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R155,58779,UR155,20190828,Unsterile root,2,4.3,HC,53,NA,NA,1_E7,NA,S_E7,NA,L_E7,NA,IMG_4600.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R121,58779,UR121,20190828,Unsterile root,3,5.5,HC,NA,NA,NA,1_E6,NA,S_E6,NA,L_E6,NA,IMG_4597.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R157,58779,UR157,20190828,Unsterile root,4,2.1,HT,NA,NA,NA,1_E2,NA,S_E2,NA,L_E2,NA,IMG_4602.HEIC,DP,Yes,No,No,No,NA,NA
STRI_F_R039,58779,UR039,20191001,Unsterile root,7,36.8,HT,30,NA,20191002,B1_4F,A_H8,NA,E_H8,E_A9,E_B1,IMG_4876.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R098,58779,UR098,20190814,Unsterile root,8,2.1,HT,NA,NA,NA,1_I2,NA,NA,NA,NA,NA,NA,DP,Yes,No,No,No,From census record,NA
STRI_F_L077,58779,L077,20190926,Sterile leaf,3,26.7,HT,NA,20190929,20190929,B1_6E,A_G4,NA,B_F7,NA,B_E2,IMG_4849.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R075,58779,UR075,20190926,Unsterile root,3,4.7,HT,NA,20190929,20190929,B1_6E,A_G4,NA,B_F7,NA,B_E2,IMG_4849.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
STRI_F_L038,58779,L038,20191001,Sterile leaf,1,61.2,SA,32,NA,20191002,B1_7F,A_I4,NA,E_H5,E_B6,E_B7,IMG_4879.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_F_R036,58779,UR036,20191001,Unsterile root,1,42.9,SA,32,NA,20191002,B1_7F,A_I4,NA,E_H5,E_B6,E_B7,IMG_4879.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
STRI_O_R036,58779,UR037,20191001,Unsterile root,2,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_LN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_LN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRI_F_R226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
