Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
12525_0803_1_01,STRI_F_L114,F_L114,L114,FUN,L114,Sterile leaf,57.6,HC,12525,DG,1,14,Healthy,20190921,NA,NA,B1_1C,A_A6,NA,B_I3,B_B4,B_A6,IMG_4789.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12525_0820_2_01,STRI_F_L230,F_L230,L230,FUN,L230,Sterile leaf,49.5,HT,12525,DG,N1,NA,Pathogen,20190917,20190920,NA,B1_4C,A_B7,NA,S_I9,NA,L_I9,IMG_4755.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12525_0820_2_01,STRI_F_R254,F_R254,R254,FUN,UR254,Unsterile root,11.9,HT,12525,DG,N1,NA,Pathogen,20190917,20190920,NA,B1_4C,A_B7,NA,S_I9,NA,L_I9,IMG_4755.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12855_0407_1_01,STRI_F_R002,F_R002,R002,FUN,UR002,Unsterile root,5.6,DG,12855,HT,1,6,Healthy,20190924,NA,20190925,B1_5D,A_E4,NA,B_H3,NA,B_C4,IMG_4815.JPG,JS,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12855_0407_3_01,STRI_F_R142,F_R142,R142,FUN,UR142,Unsterile root,9.2,DG,12855,HT,N,NA,Healthy,20190820,NA,NA,1_D3,NA,S_D3,NA,L_D3,NA,IMG_4349.HEIC,DP,Yes,No,No,No,NA,NA
12855_0803_1_01,STRI_F_L220,F_L220,L220,FUN,L220,Sterile leaf,50.2,HC,12855,HT,1,NA,Healthy,20190924,NA,20190925,B1_1D,A_D6,NA,B_H7,NA,B_B9,IMG_4817.JPG,JS,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12855_0803_1_01,STRI_F_R161,F_R161,R161,FUN,UR161,Unsterile root,2.2,HC,12855,HT,1,NA,Healthy,20190924,NA,20190925,B1_1D,A_D6,NA,B_H7,NA,B_B9,IMG_4817.JPG,JS,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12855_0803_3_01,STRI_F_R148,F_R148,R148,FUN,UR148,Unsterile root,7.9,HC,12855,HT,N,NA,Healthy,20190820,NA,NA,1_D7,NA,S_D7,NA,L_D7,NA,IMG_4354.HEIC,DP,Yes,No,No,No,NA,NA
12855_0820_1_01,STRI_F_R165,F_R165,R165,FUN,UR165,Unsterile root,3.7,HT,12855,HT,1,NA,Healthy,20190814,NA,NA,1_G2,NA,NA,NA,NA,NA,NA,Unknown,Yes,No,No,No,From census record,NA
12855_0820_1_06,STRI_F_L001,F_L001,L001,FUN,L001,Sterile leaf,47.2,HT,12855,HT,6,12,Healthy,20190924,NA,20190925,B1_9C,A_D2,NA,B_H9,NA,B_B7,IMG_4814.JPG,JS,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12855_0820_1_06,STRI_F_R001,F_R001,R001,FUN,UR001,Unsterile root,11.2,HT,12855,HT,6,12,Healthy,20190924,NA,20190925,B1_9C,A_D2,NA,B_H9,NA,B_B7,IMG_4814.JPG,JS,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12855_0820_1_08,STRI_F_L004,F_L004,L004,FUN,L004,Sterile leaf,50.4,HT,12855,HT,8,NA,Healthy,20191011,NA,20191015,B1_2A,Bag,Bag,Bag,Bag,Bag,IMG_4975.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12855_0820_1_08,STRI_F_R004,F_R004,R004,FUN,UR004,Unsterile root,16.9,HT,12855,HT,8,NA,Healthy,20191011,NA,20191015,B1_2A,Bag,Bag,Bag,Bag,Bag,IMG_4975.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12855_0820_1_09,STRI_O_R004,O_R004,R004,OOMY,UR005,Unsterile root,16.9,HT,12855,HT,9,NA,Healthy,20200302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12855_1901_1_01,STRI_F_R003,F_R003,R003,FUN,UR003,Unsterile root,13.2,SA,12855,HT,1,10,Healthy,20190924,NA,20190925,B1_10C,A_D4,NA,B_H8,NA,B_B8,IMG_4812.JPG,JS,Yes,Yes,Yes,Yes,Few roots excavated,Possible mixup with sterile-unsterile
12855_1901_1_01,STRI_F_L003,F_L003,L003,FUN,L003,Sterile leaf,51.5,SA,12855,HT,1,10,Healthy,20190924,NA,20190925,B1_10C,A_D4,NA,B_H8,NA,B_B8,IMG_4812.JPG,JS,Yes,Yes,Yes,Yes,Few roots excavated,Possible mixup with sterile-unsterile
13665_0407_1_01,STRI_F_L071,F_L071,L071,FUN,L071,Sterile leaf,55.7,DG,13665,SA,1,41,Pathogen,20190927,20190929,20190929,B1_10E,NA,NA,B_F1,NA,B_E8,IMG_4848.JPG,RP,Yes,No,Yes,Yes,NA,NA
13665_0407_1_01,STRI_F_R069,F_R069,R069,FUN,UR069,Unsterile root,1.5,DG,13665,SA,1,41,Pathogen,20190927,20190929,20190929,B1_10E,NA,NA,B_F1,NA,B_E8,IMG_4848.JPG,RP,Yes,No,Yes,Yes,NA,NA
13665_0407_3_01,STRI_F_R125,F_R125,R125,FUN,UR125,Unsterile root,8.1,DG,13665,SA,N,41,Healthy,20190822,NA,NA,1_B3,NA,S_B3,NA,L_B3,NA,IMG_4335.HEIC,DP,Yes,No,No,No,NA,NA
13665_0803_2_01,STRI_F_R240,F_R240,R240,FUN,UR240,Unsterile root,3.5,HC,13665,SA,N,7,Pathogen,20190918,20190920,NA,B1_6C,A_B8,NA,S_B8/C8,NA,L_B8,IMG_4751.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
13665_0803_2_01,STRI_F_L241,F_L241,L241,FUN,L241,Sterile leaf,37.5,HC,13665,SA,N,7,Pathogen,20190918,20190920,NA,B1_6C,A_B8,NA,S_B8/C8,NA,L_B8,IMG_4751.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
13665_0820_1_02,STRI_F_R255,F_R255,R255,FUN,UR255,Unsterile root,0.7,HT,13665,SA,2,NA,Healthy,20190903,NA,NA,1_I5,NA,S_I5,NA,S_I5,NA,NA,DP,Yes,No,No,No,no marking - assumed to be sample No. 2,NA
13665_0820_1_08,STRI_F_L235,F_L235,L235,FUN,L235,Sterile leaf,47.9,HT,13665,SA,8,27,Healthy,20190927,NA,20191001,B1_9E,NA,B_F2,B_F3,B_E7,B_E6,IMG_4826.JPG,JS,Yes,No,Yes,Yes,NA,NA
13665_0820_1_08,STRI_F_R249,F_R249,R249,FUN,UR249,Unsterile root,1.4,HT,13665,SA,8,27,Healthy,20190927,NA,20191001,B1_9E,NA,B_F2,B_F3,B_E7,B_E6,IMG_4826.JPG,JS,Yes,No,Yes,Yes,NA,NA
13665_0820_2_02,STRI_F_L244,F_L244,L244,FUN,L244,Sterile leaf,37,HT,13665,SA,N2,11,Pathogen,20190918,20190920,NA,B1_3C,A_C4,NA,S_I2,NA,L_I2,IMG_4750.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
13665_0820_2_02,STRI_F_R239,F_R239,R239,FUN,UR239,Unsterile root,8.5,HT,13665,SA,N2,11,Pathogen,20190918,20190920,NA,B1_3C,A_C4,NA,S_I2,NA,L_I2,IMG_4750.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
13665_0820_3_01,STRI_F_R256,F_R256,R256,FUN,UR256,Unsterile root,6,HT,13665,SA,1,NA,Pathogen,20190903,NA,NA,1_H5,NA,S_H5,NA,L_H5,NA,NA,DP,Yes,No,No,No,"marked with ""p""",NA
13665_1901_1_02,STRI_F_L010,F_L010,L010,FUN,L010,Sterile leaf,49.6,SA,13665,SA,2,21,Healthy,20190927,NA,20191001,B1_10D,A_F6,B_F9,B_G1,B_D7,B_D6,IMG_4831.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13665_1901_1_02,STRI_F_R007,F_R007,R007,FUN,UR007,Unsterile root,3.4,SA,13665,SA,2,21,Healthy,20190927,NA,20191001,B1_10D,A_F6,B_F9,B_G1,B_D7,B_D6,IMG_4831.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0407_3_01,STRI_F_R150,F_R150,R150,FUN,UR150,Unsterile root,2.8,DG,13687,SA,N,NA,Healthy,20190828,NA,NA,1_D2,NA,S_D2,NA,L_D2,NA,IMG_4609.HEIC,DP,Yes,No,No,No,NA,NA
13687_0407_3_02,STRI_F_R163,F_R163,R163,FUN,UR163,Unsterile root,1.5,DG,13687,SA,N,NA,Healthy,20190828,NA,NA,1_C1,NA,S_C1,NA,L_C1,NA,IMG_4606.HEIC,DP,Yes,No,No,No,NA,NA
13687_0803_1_01,STRI_F_R109,F_R109,R109,FUN,UR109,Unsterile root,42.1,HC,13687,SA,1,18,Healthy,20190921,NA,NA,B1_6B,A_A1,NA,B_I5,B_A1,B_B1,IMG_4790.JPG,JS,Yes,Yes,Yes,Yes,Few roots excavated,NA
13687_0820_1_01,STRI_F_R115,F_R115,R115,FUN,UR115,Unsterile root,50.3,HT,13687,SA,1,17,Healthy,20190921,NA,NA,B1_5C,A_C3,NA,B_I8,B_A4,B_A5,IMG_4787.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0820_1_01,STRI_F_R115,F_R115,R115,FUN,UR115,Unsterile root,50.3,HT,13687,SA,1,NA,Healthy,20200302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13687_0820_1_01,STRI_F_L117,F_L117,L117,FUN,L117,Sterile leaf,57,HT,13687,SA,1,17,Healthy,20190921,NA,NA,B1_5C,A_C3,NA,B_I8,B_A4,B_A5,IMG_4787.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0820_1_01,STRI_F_L117,F_L117,L117,FUN,L117,Sterile leaf,57,HT,13687,SA,1,NA,Healthy,20200302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13687_0820_1_05,STRI_F_L120,F_L120,L120,FUN,L120,Sterile leaf,45.3,HT,13687,SA,5,17,Healthy,20190921,NA,NA,B1_5B,A_A2,NA,B_I4,B_B2,B_A8,IMG_4786.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0820_1_05,STRI_F_R118,F_R118,R118,FUN,UR118,Unsterile root,39,HT,13687,SA,5,17,Healthy,20190921,NA,NA,B1_5B,A_A2,NA,B_I4,B_B2,B_A8,IMG_4786.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0820_1_06,STRI_O_R118,O_R118,R118,OOMY,UR119,Unsterile root,39,HT,13687,SA,6,NA,Healthy,20190903,NA,NA,1_F5,NA,S_F5,NA,L_F5,NA,NA,NA,Yes,No,No,No,NA,NA
13687_0820_1_06,STRI_O_R118,O_R118,R118,OOMY,UR119,Unsterile root,39,HT,13665,SA,6,NA,Healthy,20190828,NA,NA,1_E3,NA,S_E3,NA,L_E3,NA,IMG_4614.HEIC,DP,Yes,No,No,No,"Labeled 13667. Likely 13687, but census shows it was probably collected, then a new one was relabeled as 6",NA
13687_0820_1_06,STRI_F_R030,F_R030,R030,FUN,UR030,Unsterile root,3.4,HT,13687,SA,6,NA,Healthy,20190903,NA,NA,1_F5,NA,S_F5,NA,L_F5,NA,NA,NA,Yes,No,No,No,NA,NA
13687_0820_1_06,STRI_F_R030,F_R030,R030,FUN,UR030,Unsterile root,3.4,HT,13665,SA,6,NA,Healthy,20190828,NA,NA,1_E3,NA,S_E3,NA,L_E3,NA,IMG_4614.HEIC,DP,Yes,No,No,No,"Labeled 13667. Likely 13687, but census shows it was probably collected, then a new one was relabeled as 6",NA
13687_0820_1_06,STRI_F_R257,F_R257,R257,FUN,UR257,Unsterile root,4.3,HT,13687,SA,6,NA,Healthy,20190903,NA,NA,1_F5,NA,S_F5,NA,L_F5,NA,NA,NA,Yes,No,No,No,NA,NA
13687_0820_1_06,STRI_F_R257,F_R257,R257,FUN,UR257,Unsterile root,4.3,HT,13665,SA,6,NA,Healthy,20190828,NA,NA,1_E3,NA,S_E3,NA,L_E3,NA,IMG_4614.HEIC,DP,Yes,No,No,No,"Labeled 13667. Likely 13687, but census shows it was probably collected, then a new one was relabeled as 6",NA
13687_0820_1_07,STRI_O_R257,O_R257,R257,OOMY,UR258,Unsterile root,4.3,HT,13687,SA,7,17,Herbivory,20190917,20190920,NA,NA,A_A9,S_H1,NA,NA,NA,IMG_4753.JPG,RP,No,No,No,No,NA,NA
13687_0820_1_10,STRI_F_R175,F_R175,R175,FUN,UR175,Unsterile root,26,HT,13687,HT,10,NA,Healthy,20191011,NA,20191015,B1_5A,Bag,Bag,Bag,Bag,Bag,IMG_4976.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
13687_0820_1_10,STRI_F_L177,F_L177,L177,FUN,L177,Sterile leaf,50,HT,13687,HT,10,NA,Healthy,20191011,NA,20191015,B1_5A,Bag,Bag,Bag,Bag,Bag,IMG_4976.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
15809_0407_2_01,STRI_F_R086,F_R086,R086,FUN,UR086,Unsterile root,52.8,DG,15809,DG,1,NA,Pathogen,20191007,NA,20191012,B1_1A,Bag,Bag,Bag,Bag,Bag,IMG_4967.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
15809_0407_3_01,STRI_F_R228,F_R228,R228,FUN,UR228,Unsterile root,2.4,DG,15809,DG,NA,NA,Healthy,20190814,NA,NA,1_A2,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,NA,Status unknown. No indication it was not healthy though
15809_0820_1_02,STRI_F_R139,F_R139,R139,FUN,UR139,Unsterile root,3.4,HT,15809,DG,2,40,Healthy,20190826,NA,NA,1_D4,NA,S_D4,NA,L_D4,NA,IMG_4457.HEIC,DP,Yes,No,No,No,NA,NA
15809_0820_1_03,STRI_O_R139,O_R139,R139,OOMY,UR140,Unsterile root,3.4,HT,15809,DG,3,40,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4933.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
15809_0820_1_03,STRI_F_L212,F_L212,L212,FUN,L212,Sterile leaf,43,HT,15809,DG,3,40,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4933.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
15809_0820_1_03,STRI_F_R210,F_R210,R210,FUN,UR210,Unsterile root,6,HT,15809,DG,3,40,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4933.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
15809_1901_3_01,STRI_F_R136,F_R136,R136,FUN,UR136,Unsterile root,11.6,SA,15809,DG,N,NA,Healthy,20190822,NA,NA,1_G7,NA,S_G7,na,L_G7,NA,IMG_4343.HEIC,DP,Yes,No,Yes,No,NA,NA
41346_0407_1_01,STRI_F_R135,F_R135,R135,FUN,UR135,Unsterile root,6.5,DG,41346,SA,1,44,Pathogen,20190822,NA,NA,1_A3,NA,S_A3,NA,L_A1 . L_A3,NA,IMG_4342.HEIC,DP,Yes,No,No,No,NA,NA
41346_0803_1_03,STRI_F_R144,F_R144,R144,FUN,UR144,Unsterile root,8.7,HC,41346,SA,3,43,Healthy,20190822,NA,NA,1_C7,NA,S_C7,NA,L_C7,NA,IMG_4346.HEIC,DP,Yes,No,No,No,NA,NA
41346_1901_2_01,STRI_F_L104,F_L104,L104,FUN,L104,Sterile leaf,59.2,SA,41346,SA,N1,NA,Pathogen,20190924,20190925,20190925,B1_8C,A_C9,NA,B_I1,NA,B_B6,IMG_4810.JPG,RP,Yes,Yes,Yes,Yes,Number not quite clear,Possible mixup with sterile-unsterile
41346_1901_3_01,STRI_F_R137,F_R137,R137,FUN,UR137,Unsterile root,13.8,SA,41346,SA,NA,NA,Unknown,20190806,NA,NA,1_H7,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,NA
41346_1901_3_01,STRI_F_R137,F_R137,R137,FUN,UR137,Unsterile root,13.8,SA,41346,SA,N,NA,Healthy,20190822,NA,NA,1_H6,NA,S_H6,NA,L_H6,NA,IMG_4344.HEIC,DP,Yes,No,No,No,Collected from HT exclosure,NA
41607_0803_1_01,STRI_F_L065,F_L065,L065,FUN,L065,Sterile leaf,14.5,HC,41607,SA,1,NA,Pathogen,20190927,20190929,20190929,B1_9D,A_F4,NA,B_G2,NA,B_D5,IMG_4846.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
41607_0803_1_01,STRI_F_R063,F_R063,R063,FUN,UR063,Unsterile root,0.2,HC,41607,SA,1,NA,Pathogen,20190927,20190929,20190929,B1_9D,A_F4,NA,B_G2,NA,B_D5,IMG_4846.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
41607_0803_3_01,STRI_F_R149,F_R149,R149,FUN,UR149,Unsterile root,6.4,HC,41607,SA,N,NA,Healthy,20190820,NA,NA,1_A7,NA,S_A7,NA,L_A7,NA,IMG_4355.HEIC,DP,Yes,No,No,No,NA,NA
41607_0820_1_02,STRI_F_R011,F_R011,R011,FUN,UR011,Unsterile root,4.1,HT,41607,SA,2,23,Healthy,20190927,NA,20191001,B1_5E,A_G1,E_I1,E_H9,B_D9,B_E1,IMG_4829.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
41607_0820_1_03,STRI_O_R011,O_R011,R011,OOMY,UR012,Unsterile root,4.1,HT,41607,SA,3,NA,Healthy,20200224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41607_0820_1_05,STRI_F_R026,F_R026,R026,FUN,UR026,Unsterile root,1.6,HT,41607,SA,5,23,Healthy,20190927,NA,20191001,B1_3F,NA,E_I3,E_I2,E_A8,E_A7,IMG_4828.JPG,JS,Yes,No,Yes,Yes,NA,NA
41607_1901_2_04,STRI_F_R051,F_R051,R051,FUN,UR051,Unsterile root,13.8,SA,41607,SA,N4,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4883.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
42320_0407_1_01,STRI_F_R057,F_R057,R057,FUN,UR057,Unsterile root,1.4,DG,42320,DG,1,24,Healthy,20190927,NA,20191001,B1_1E,A_E6,B_G8,B_G9,B_C8,B_C7,IMG_4841.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0407_1_01,STRI_F_L059,F_L059,L059,FUN,L059,Sterile leaf,50.1,DG,42320,DG,1,24,Healthy,20190927,NA,20191001,B1_1E,A_E6,B_G8,B_G9,B_C8,B_C7,IMG_4841.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0407_3_01,STRI_F_L183,F_L183,L183,FUN,L183,Sterile leaf,48,DG,42320,DG,NA,NA,Healthy,20190927,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,NA,JS,Yes,Yes,Yes,Yes,"Hilario's ""control"" seedling",NA
42320_0407_3_01,STRI_F_R181,F_R181,R181,FUN,UR181,Unsterile root,NA,DG,42320,DG,NA,NA,Healthy,20190927,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,NA,JS,Yes,Yes,Yes,Yes,"Hilario's ""control"" seedling",NA
42320_0803_2_03,STRI_F_L091,F_L091,L091,FUN,L091,Sterile leaf,57.4,HC,42320,DG,3,NA,Pathogen,20191002,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4938.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
42320_0803_2_03,STRI_F_R089,F_R089,R089,FUN,UR089,Unsterile root,15.7,HC,42320,DG,3,NA,Pathogen,20191002,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4938.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
42320_0803_3_01,STRI_F_R145,F_R145,R145,FUN,UR145,Unsterile root,4.2,HC,42320,DG,N,NA,Healthy,20190828,NA,NA,1_B6,NA,S_B6,NA,L_B6,NA,IMG_4613.HEIC,DP,Yes,No,No,No,Also near 1869,NA
42320_0803_3_02,STRI_F_R164,F_R164,R164,FUN,UR164,Unsterile root,4.1,HC,42320,DG,N,NA,Healthy,20190828,NA,NA,1_A5,NA,S_A5,NA,L_A5,NA,IMG_4612.HEIC,DP,Yes,No,No,No,NA,NA
42320_0820_1_01,STRI_F_L056,F_L056,L056,FUN,L056,Sterile leaf,51.1,HT,42320,DG,1,25,Healthy,20190927,NA,20191001,B1_1F,A_H2,E_I6,E_I7,E_A4,E_A3,IMG_4834.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_01,STRI_F_R054,F_R054,R054,FUN,UR054,Unsterile root,2.1,HT,42320,DG,1,25,Healthy,20190927,NA,20191001,B1_1F,A_H2,E_I6,E_I7,E_A4,E_A3,IMG_4834.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_02,STRI_F_R158,F_R158,R158,FUN,UR158,Unsterile root,23.9,HT,42320,DG,2,NA,Healthy,20190828,NA,NA,1_F1/1_H4?,NA,NA,NA,NA,NA,IMG_4605.HEIC,DP,Yes,No,No,No,NA,NA
42320_0820_1_03,STRI_O_R158,O_R158,R158,OOMY,UR159,Unsterile root,23.9,HT,42320,DG,3,NA,Healthy,20200302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42320_0820_1_04,STRI_F_R146,F_R146,R146,FUN,UR146,Unsterile root,3.9,HT,42320,DG,4,51,Healthy,20190820,NA,NA,1_I4,NA,S_I4,NA,L_I4,NA,IMG_4351.HEIC,DP,Yes,No,No,No,NA,NA
42320_0820_1_06,STRI_F_R078,F_R078,R078,FUN,UR078,Unsterile root,13,HT,42320,DG,6,57,Healthy,20191011,NA,20191015,B1_7A,Bag,Bag,Bag,Bag,Bag,IMG_4971.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_06,STRI_F_L080,F_L080,L080,FUN,L080,Sterile leaf,58.4,HT,42320,DG,6,57,Healthy,20191011,NA,20191015,B1_7A,Bag,Bag,Bag,Bag,Bag,IMG_4971.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_07,STRI_F_L097,F_L097,L097,FUN,L096,Sterile leaf,51.2,HT,42320,DG,7,57,Healthy,20191011,NA,20191015,B1_10A,Bag,Bag,Bag,Bag,Bag,IMG_4969.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_07,STRI_F_R095,F_R095,R095,FUN,UR095,Unsterile root,9.5,HT,42320,DG,7,57,Healthy,20191011,NA,20191015,B1_10A,Bag,Bag,Bag,Bag,Bag,IMG_4969.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_08,STRI_F_R159,F_R159,R159,FUN,UR159,Unsterile root,8.1,HT,42320,DG,8,NA,Healthy,20190828,NA,NA,1_F1/1_H4?,NA,NA,NA,NA,NA,IMG_4604.HEIC,DP,Yes,No,No,No,NA,NA
42320_0820_1_15,STRI_F_L178,F_L178,L178,FUN,L178,Sterile leaf,28,HT,42320,DG,15,57,Healthy,20191011,NA,20191015,B1_9A,Bag,Bag,Bag,Bag,Bag,IMG_4973.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_0820_1_15,STRI_F_R180,F_R180,R180,FUN,UR180,Unsterile root,8,HT,42320,DG,15,57,Healthy,20191011,NA,20191015,B1_9A,Bag,Bag,Bag,Bag,Bag,IMG_4973.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
42320_1901_1_01,STRI_F_R102,F_R102,R102,FUN,UR102,Unsterile root,3.5,SA,42320,DG,1,20,Healthy,20190927,NA,20191001,B1_8D,NA,B_G4,B_G3,B_D4,B_D3,IMG_4832.JPG,JS,Yes,No,Yes,Yes,NA,NA
42320_1901_1_01,STRI_F_L224,F_L224,L224,FUN,L224,Sterile leaf,51.7,SA,42320,DG,1,20,Healthy,20190927,NA,20191001,B1_8D,NA,B_G4,B_G3,B_D4,B_D3,IMG_4832.JPG,JS,Yes,No,Yes,Yes,NA,NA
42320_1901_2_02,STRI_F_L085,F_L085,L085,FUN,L085,Sterile leaf,59,SA,42320,DG,2,NA,Pathogen,20191002,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4939.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
42320_1901_2_02,STRI_F_R083,F_R083,R083,FUN,UR083,Unsterile root,43.4,SA,42320,DG,2,NA,Pathogen,20191002,20191006,20191006,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4939.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
42320_1901_3_01,STRI_F_R160,F_R160,R160,FUN,UR160,Unsterile root,1.5,SA,42320,DG,N,NA,Healthy,20190828,NA,NA,1_F6,NA,S_F6,NA,L_F6,NA,IMG_4611.HEIC,DP,Yes,No,No,No,Found mostly uprooted,NA
42320_1901_3_01,STRI_F_R160,F_R160,R160,FUN,UR160,Unsterile root,1.5,SA,42320,DG,N,NA,Healthy,20190820,NA,NA,1_I6,NA,S_I6,NA,L_I6,NA,IMG_4359.HEIC,DP,Yes,No,No,No,"Two samples, not sure which is which",NA
42320_1901_3_02,STRI_F_R162,F_R162,R162,FUN,UR162,Unsterile root,7.9,SA,42320,DG,N,NA,Healthy,20190828,NA,NA,1_G6,NA,S_G6,NA,L_G6,NA,IMG_4611.HEIC,DP,Yes,No,No,No,Found mostly uprooted,NA
42320_1901_3_03,STRI_F_R147,F_R147,R147,FUN,UR147,Unsterile root,4.4,SA,42320,DG,N,NA,Healthy,20190820,NA,NA,1_I6,NA,S_I6,NA,L_I6,NA,IMG_4353.HEIC,DP,Yes,No,No,No,"Two samples, not sure which is which",NA
58779_0407_3_01,STRI_F_R154,F_R154,R154,FUN,UR154,Unsterile root,13.9,DG,58779,HT,N,NA,Healthy,20190828,NA,NA,1_B1,NA,S_B1,NA,L_B1,NA,IMG_4601.HEIC,DP,Yes,No,No,No,NA,NA
58779_0803_1_01,STRI_F_R143,F_R143,R143,FUN,UR143,Unsterile root,4.4,HC,58779,HT,1,NA,Healthy,20190822,NA,NA,1_B7,NA,S_B7,NA,L_B7,NA,IMG_4347.HEIC,DP,Yes,No,No,No,NA,NA
58779_0803_2_02,STRI_F_R198,F_R198,R198,FUN,UR198,Unsterile root,NA,HC,58779,HT,N2,NA,Pathogen,20190926,20190929,20190929,B1_8E,A_G8,NA,B_F4,NA,B_E5,IMG_4852.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
58779_0803_3_01,STRI_F_R156,F_R156,R156,FUN,UR156,Unsterile root,11.3,HC,58779,HT,N,NA,Healthy,20190828,NA,NA,1_C6,NA,S_C6,NA,L_C9,NA,IMG_4603.HEIC,DP,Yes,No,No,No,NA,NA
58779_0803_3_02,STRI_F_R155,F_R155,R155,FUN,UR155,Unsterile root,4.3,HC,58779,HT,N,53,Healthy,20190828,NA,NA,1_E7,NA,S_E7,NA,L_E7,NA,IMG_4600.HEIC,DP,Yes,No,No,No,NA,NA
58779_0803_3_03,STRI_F_R121,F_R121,R121,FUN,UR121,Unsterile root,5.5,HC,58779,HT,N,NA,Healthy,20190828,NA,NA,1_E6,NA,S_E6,NA,L_E6,NA,IMG_4597.HEIC,DP,Yes,No,No,No,NA,NA
