Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
01772_0407_1_02,STRI_F_L170,F_L170,L170,FUN,L170,Sterile leaf,38,DG,1772,HC,2,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4928.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_02,STRI_F_R172,F_R172,R172,FUN,UR172,Unsterile root,6,DG,1772,HC,2,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4928.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_03,STRI_F_L197,F_L197,L197,FUN,L197,Sterile leaf,58,DG,1772,HC,3,37,Pathogen,20191001,NA,20191002,B1_4E,A_G2,NA,E_H2,E_C3,E_C4,IMG_4878.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_03,STRI_F_R195,F_R195,R195,FUN,UR195,Unsterile root,27,DG,1772,HC,3,37,Pathogen,20191001,NA,20191002,B1_4E,A_G2,NA,E_H2,E_C3,E_C4,IMG_4878.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0407_1_03,STRI_O_R172,O_R172,R172,OOMY,UR173,Unsterile root,6,DG,1772,HC,3,37,Pathogen,20191001,NA,20191002,B1_4E,A_G2,NA,E_H2,E_C3,E_C4,IMG_4878.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0803_3_01,STRI_F_R124,F_R124,R124,FUN,UR124,Unsterile root,4.1,HC,1772,HC,N,54,Healthy,20190826,NA,NA,1_C5,NA,S_C5,NA,L_C5,NA,IMG_4453.HEIC,DP,Yes,No,No,No,NA,NA
01772_0803_3_02,STRI_O_R124,O_R124,R124,OOMY,UR125,Unsterile root,4.1,HC,1772,HC,N,NA,Healthy,20190826,NA,NA,1_A4,NA,S_A4,NA,L_A4,NA,IMG_4458.HEIC,DP,Yes,No,No,No,NA,NA
01772_0803_3_02,STRI_F_R140,F_R140,R140,FUN,UR140,Unsterile root,2,HC,1772,HC,N,NA,Healthy,20190826,NA,NA,1_A4,NA,S_A4,NA,L_A4,NA,IMG_4458.HEIC,DP,Yes,No,No,No,NA,NA
01772_0803_3_03,STRI_F_R141,F_R141,R141,FUN,UR141,Unsterile root,3.8,HC,1772,HC,N,NA,Healthy,20190826,NA,NA,1_B5,NA,S_B5,NA,L_B5,NA,IMG_4459.HEIC,DP,Yes,No,No,No,NA,NA
01772_0803_3_03,STRI_O_R140,O_R140,R140,OOMY,UR141,Unsterile root,2,HC,1772,HC,N,NA,Healthy,20190826,NA,NA,1_B5,NA,S_B5,NA,L_B5,NA,IMG_4459.HEIC,DP,Yes,No,No,No,NA,NA
01772_0803_3_04,STRI_F_R218,F_R218,R218,FUN,UR218,Unsterile root,0.4,HC,1772,HC,NA,NA,Healthy,20190814,NA,NA,1_A8,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,NA,Status unknown. No indication it was not healthy though
01772_0820_1_01,STRI_F_R066,F_R066,R066,FUN,UR066,Unsterile root,2.3,HT,1772,HC,1,NA,Pathogen,20190927,20190929,20190929,B1_3E,NA,NA,B_F8,NA,B_D8,IMG_4847.JPG,RP,Yes,No,Yes,Yes,NA,NA
01772_0820_1_01,STRI_F_L068,F_L068,L068,FUN,L068,Sterile leaf,55.6,HT,1772,HC,1,NA,Pathogen,20190927,20190929,20190929,B1_3E,NA,NA,B_F8,NA,B_D8,IMG_4847.JPG,RP,Yes,No,Yes,Yes,NA,NA
01772_0820_1_02,STRI_F_L050,F_L050,L050,FUN,L050,Sterile leaf,61.5,HT,1772,HC,2,33,Healthy,20191001,NA,20191002,B1_10F,A_E6,NA,E_G8,E_C7,E_C8,IMG_4875.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0820_1_02,STRI_F_R048,F_R048,R048,FUN,UR048,Unsterile root,58.3,HT,1772,HC,2,33,Healthy,20191001,NA,20191002,B1_10F,A_E6,NA,E_G8,E_C7,E_C8,IMG_4875.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0820_1_04,STRI_F_L215,F_L215,L215,FUN,L215,Sterile leaf,48,HT,1772,HC,4,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4932.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0820_1_04,STRI_F_R213,F_R213,R213,FUN,UR213,Unsterile root,22,HT,1772,HC,4,NA,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4932.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
01772_0820_1_05,STRI_F_R192,F_R192,R192,FUN,UR192,Unsterile root,38,HT,1772,HC,5,33,Healthy,20191001,NA,20191002,B1_6F,A_I2,NA,E_H6,E_B4,E_B5,IMG_4872.JPG,JS,Yes,Yes,Yes,Yes,Bag mislabeled,NA
01772_0820_1_05,STRI_F_L194,F_L194,L194,FUN,L194,Sterile leaf,50,HT,1772,HC,5,33,Healthy,20191001,NA,20191002,B1_6F,A_I2,NA,E_H6,E_B4,E_B5,IMG_4872.JPG,JS,Yes,Yes,Yes,Yes,Bag mislabeled,NA
01772_1901_3_01,STRI_F_R131,F_R131,R131,FUN,UR131,Unsterile root,4.8,SA,1772,HC,N,NA,Healthy,20190826,NA,NA,1_F9,NA,S_F9,NA,S_F9,NA,IMG_4455.HEIC,DP,Yes,No,No,No,NA,NA
01772_1901_3_02,STRI_F_R133,F_R133,R133,FUN,UR133,Unsterile root,21.3,SA,1772,HC,N,NA,Healthy,20190826,NA,NA,1_G9,NA,S_G9,NA,L_G9,NA,IMG_4455.HEIC,DP,Yes,No,No,No,NA,NA
